series_id,Channel,Category,Customer Segment,Forecast Week,Forecast
ECOM B2B|FP|Top Account,ECOM B2B,FP,Top Account,2025-04-14,10.62297540934916
ECOM B2B|Thunder|Top Account,ECOM B2B,Thunder,Top Account,2025-04-14,10.60466912342589
ECOM B2C|1 Jar|Key Account,ECOM B2C,1 Jar,Key Account,2025-04-14,0.269832027886162
ECOM B2C|2 Jars|Key Account,ECOM B2C,2 Jars,Key Account,2025-04-14,24.235463353249266
ECOM B2C|Gift Combos|Key Account,ECOM B2C,Gift Combos,Key Account,2025-04-14,23.43796322414311
ECOM B2C|NB Smart 2 Jar|Key Account,ECOM B2C,NB Smart 2 Jar,Key Account,2025-04-14,17.17468169319537
ECOM B2C|Thunder|Key Account,ECOM B2C,Thunder,Key Account,2025-04-14,0.2697474119533729
ECOM B2C|1 Jar|Regular,ECOM B2C,1 Jar,Regular,2025-04-14,453.0927460563235
ECOM B2C|2 Jars|Regular,ECOM B2C,2 Jars,Regular,2025-04-14,509.7649998834872
ECOM B2C|Gift Combos|Regular,ECOM B2C,Gift Combos,Regular,2025-04-14,443.6980365012259
ECOM B2C|NB Smart 2 Jar|Regular,ECOM B2C,NB Smart 2 Jar,Regular,2025-04-14,0.21655213046146624
ECOM B2C|Thunder|Regular,ECOM B2C,Thunder,Regular,2025-04-14,188.30058760993256
Export|1 Jar|Key Account,Export,1 Jar,Key Account,2025-04-14,43.73475768607446
Export|2 Jars|Key Account,Export,2 Jars,Key Account,2025-04-14,0.25483515833230486
Export|CKM|Key Account,Export,CKM,Key Account,2025-04-14,17.989931362469772
Export|1 Jar|Regular,Export,1 Jar,Regular,2025-04-14,34.95016742029623
Export|2 Jars|Regular,Export,2 Jars,Regular,2025-04-14,24.07363758199055
Export|CKM|Regular,Export,CKM,Regular,2025-04-14,0.26976764688590227
Export|1 Jar|Top Account,Export,1 Jar,Top Account,2025-04-14,22.366986225315944
Export|2 Jars|Top Account,Export,2 Jars,Top Account,2025-04-14,18.111051051407554
Export|CKM|Top Account,Export,CKM,Top Account,2025-04-14,5.990035329141881
GT|1 Jar|Key Account,GT,1 Jar,Key Account,2025-04-14,586.0400614758919
GT|2 Jars|Key Account,GT,2 Jars,Key Account,2025-04-14,408.5047657398424
GT|3 Jars|Key Account,GT,3 Jars,Key Account,2025-04-14,194.06712638609483
GT|CKM|Key Account,GT,CKM,Key Account,2025-04-14,253.0082651876009
GT|FP|Key Account,GT,FP,Key Account,2025-04-14,86.33319135303157
GT|1 Jar|Regular,GT,1 Jar,Regular,2025-04-14,1818.9228509318532
GT|2 Jars|Regular,GT,2 Jars,Regular,2025-04-14,1064.1750958571542
GT|3 Jars|Regular,GT,3 Jars,Regular,2025-04-14,457.1795067346826
GT|CKM|Regular,GT,CKM,Regular,2025-04-14,554.2233528838548
GT|FP|Regular,GT,FP,Regular,2025-04-14,210.4168192654322
GT|1 Jar|Top Account,GT,1 Jar,Top Account,2025-04-14,118.61085568009076
GT|2 Jars|Top Account,GT,2 Jars,Top Account,2025-04-14,101.68789571220023
GT|3 Jars|Top Account,GT,3 Jars,Top Account,2025-04-14,33.51213763010351
GT|CKM|Top Account,GT,CKM,Top Account,2025-04-14,45.33285740828471
GT|FP|Top Account,GT,FP,Top Account,2025-04-14,15.057418369195734
MT|1 Jar|Key Account,MT,1 Jar,Key Account,2025-04-14,426.6869478248506
MT|2 Jars|Key Account,MT,2 Jars,Key Account,2025-04-14,539.6203980603517
MT|3 Jars|Key Account,MT,3 Jars,Key Account,2025-04-14,254.6504783876044
MT|CKM|Key Account,MT,CKM,Key Account,2025-04-14,485.8311203751057
MT|Thunder|Key Account,MT,Thunder,Key Account,2025-04-14,224.94641459688765
MT|1 Jar|Regular,MT,1 Jar,Regular,2025-04-14,543.8611055561971
MT|2 Jars|Regular,MT,2 Jars,Regular,2025-04-14,818.1340479773231
MT|3 Jars|Regular,MT,3 Jars,Regular,2025-04-14,293.54149746476236
MT|CKM|Regular,MT,CKM,Regular,2025-04-14,448.9736604374727
MT|Thunder|Regular,MT,Thunder,Regular,2025-04-14,348.7654565872541
MT|1 Jar|Top Account,MT,1 Jar,Top Account,2025-04-14,105.17862473698976
MT|2 Jars|Top Account,MT,2 Jars,Top Account,2025-04-14,0.23514789404229916
MT|3 Jars|Top Account,MT,3 Jars,Top Account,2025-04-14,64.49253109725323
MT|CKM|Top Account,MT,CKM,Top Account,2025-04-14,108.84465004694546
MT|Thunder|Top Account,MT,Thunder,Top Account,2025-04-14,55.806207464907324
Others|1 Jar|Key Account,Others,1 Jar,Key Account,2025-04-14,15.12206395167239
Others|2 Jars|Key Account,Others,2 Jars,Key Account,2025-04-14,9.77665747069283
Others|CKM|Key Account,Others,CKM,Key Account,2025-04-14,5.630821693472769
Others|1 Jar|Regular,Others,1 Jar,Regular,2025-04-14,0.21655213046146624
Others|2 Jars|Regular,Others,2 Jars,Regular,2025-04-14,0.25485427463150356
Others|CKM|Regular,Others,CKM,Regular,2025-04-14,41.62515455864872
Others|1 Jar|Top Account,Others,1 Jar,Top Account,2025-04-14,3.214341665105624
Others|2 Jars|Top Account,Others,2 Jars,Top Account,2025-04-14,0.2680551828871749
Others|CKM|Top Account,Others,CKM,Top Account,2025-04-14,2.727069106302171
Website|1 Jar|Key Account,Website,1 Jar,Key Account,2025-04-14,0.2697474119533729
Website|2 Jars|Key Account,Website,2 Jars,Key Account,2025-04-14,6.614995216805323
Website|Gift Combos|Key Account,Website,Gift Combos,Key Account,2025-04-14,0.2691474947513295
Website|NB Smart 2 Jar|Key Account,Website,NB Smart 2 Jar,Key Account,2025-04-14,4.62042204648286
Website|1 Jar|Regular,Website,1 Jar,Regular,2025-04-14,137.49456841273803
Website|2 Jars|Regular,Website,2 Jars,Regular,2025-04-14,143.76739095432407
Website|Gift Combos|Regular,Website,Gift Combos,Regular,2025-04-14,96.39227432394036
Website|NB Smart 2 Jar|Regular,Website,NB Smart 2 Jar,Regular,2025-04-14,67.29614271096123
CG|1 Jar|Key Account,CG,1 Jar,Key Account,2025-04-21,207.2082934588398
CG|2 Jars|Key Account,CG,2 Jars,Key Account,2025-04-21,381.3933261043747
CG|3 Jars|Key Account,CG,3 Jars,Key Account,2025-04-21,0.23508136556396547
CG|CKM|Key Account,CG,CKM,Key Account,2025-04-21,265.34699166138887
CG|NB Smart 2 Jar|Key Account,CG,NB Smart 2 Jar,Key Account,2025-04-21,189.82517159765234
CG|1 Jar|Regular,CG,1 Jar,Regular,2025-04-21,273.76880404483046
CG|2 Jars|Regular,CG,2 Jars,Regular,2025-04-21,484.39180600123694
CG|3 Jars|Regular,CG,3 Jars,Regular,2025-04-21,184.29992329672666
CG|CKM|Regular,CG,CKM,Regular,2025-04-21,334.9555830362645
CG|NB Smart 2 Jar|Regular,CG,NB Smart 2 Jar,Regular,2025-04-21,239.89297687604008
CG|1 Jar|Top Account,CG,1 Jar,Top Account,2025-04-21,0.26820674626421076
CG|2 Jars|Top Account,CG,2 Jars,Top Account,2025-04-21,100.35286459434548
CG|3 Jars|Top Account,CG,3 Jars,Top Account,2025-04-21,41.64513250316541
CG|CKM|Top Account,CG,CKM,Top Account,2025-04-21,97.15619472309805
CG|NB Smart 2 Jar|Top Account,CG,NB Smart 2 Jar,Top Account,2025-04-21,55.80190438054762
Canteen|2 Jars|Key Account,Canteen,2 Jars,Key Account,2025-04-21,0.26820674626421076
Canteen|3 Jars|Key Account,Canteen,3 Jars,Key Account,2025-04-21,45.48761474088127
Canteen|CKM|Key Account,Canteen,CKM,Key Account,2025-04-21,26.545204450673616
Canteen|NB Smart 2 Jar|Key Account,Canteen,NB Smart 2 Jar,Key Account,2025-04-21,15.402329403155974
Canteen|2 Jars|Regular,Canteen,2 Jars,Regular,2025-04-21,0.21655213046146624
Canteen|3 Jars|Regular,Canteen,3 Jars,Regular,2025-04-21,438.86297841850393
Canteen|CKM|Regular,Canteen,CKM,Regular,2025-04-21,196.30572624172936
Canteen|NB Smart 2 Jar|Regular,Canteen,NB Smart 2 Jar,Regular,2025-04-21,192.79403136800397
Canteen|2 Jars|Top Account,Canteen,2 Jars,Top Account,2025-04-21,18.035258949443623
Canteen|3 Jars|Top Account,Canteen,3 Jars,Top Account,2025-04-21,10.191803286460711
Canteen|CKM|Top Account,Canteen,CKM,Top Account,2025-04-21,6.13481322757004
Canteen|NB Smart 2 Jar|Top Account,Canteen,NB Smart 2 Jar,Top Account,2025-04-21,4.791136812795845
DTH|1 Jar|Key Account,DTH,1 Jar,Key Account,2025-04-21,51.855357046580096
DTH|2 Jars|Key Account,DTH,2 Jars,Key Account,2025-04-21,40.21371684246976
DTH|CKM|Key Account,DTH,CKM,Key Account,2025-04-21,20.22381615170449
DTH|1 Jar|Regular,DTH,1 Jar,Regular,2025-04-21,392.13914652600016
DTH|2 Jars|Regular,DTH,2 Jars,Regular,2025-04-21,208.32117973666084
DTH|CKM|Regular,DTH,CKM,Regular,2025-04-21,127.33464099095112
DTH|1 Jar|Top Account,DTH,1 Jar,Top Account,2025-04-21,21.930000874570272
DTH|2 Jars|Top Account,DTH,2 Jars,Top Account,2025-04-21,12.6570469054991
DTH|CKM|Top Account,DTH,CKM,Top Account,2025-04-21,7.4871553779312965
EBO|1 Jar|Key Account,EBO,1 Jar,Key Account,2025-04-21,106.8224961124846
EBO|2 Jars|Key Account,EBO,2 Jars,Key Account,2025-04-21,98.63043890071003
EBO|Blender|Key Account,EBO,Blender,Key Account,2025-04-21,78.49194596164187
EBO|CKM|Key Account,EBO,CKM,Key Account,2025-04-21,56.78916221463351
EBO|1 Jar|Regular,EBO,1 Jar,Regular,2025-04-21,346.93153933347554
EBO|2 Jars|Regular,EBO,2 Jars,Regular,2025-04-21,281.88789398757746
EBO|Blender|Regular,EBO,Blender,Regular,2025-04-21,206.60531928914062
EBO|CKM|Regular,EBO,CKM,Regular,2025-04-21,166.0055981360212
EBO|1 Jar|Top Account,EBO,1 Jar,Top Account,2025-04-21,23.26433410038505
EBO|2 Jars|Top Account,EBO,2 Jars,Top Account,2025-04-21,16.338178007651994
EBO|Blender|Top Account,EBO,Blender,Top Account,2025-04-21,16.631994538177082
EBO|CKM|Top Account,EBO,CKM,Top Account,2025-04-21,10.536933387638703
ECOM B2B|2 Jars|Key Account,ECOM B2B,2 Jars,Key Account,2025-04-21,138.62995740675697
ECOM B2B|CKM|Key Account,ECOM B2B,CKM,Key Account,2025-04-21,122.69261899989601
ECOM B2B|FP|Key Account,ECOM B2B,FP,Key Account,2025-04-21,66.03036414960562
ECOM B2B|Thunder|Key Account,ECOM B2B,Thunder,Key Account,2025-04-21,58.76400029099292
ECOM B2B|2 Jars|Regular,ECOM B2B,2 Jars,Regular,2025-04-21,0.25479487442746385
ECOM B2B|CKM|Regular,ECOM B2B,CKM,Regular,2025-04-21,97.81713597076227
ECOM B2B|FP|Regular,ECOM B2B,FP,Regular,2025-04-21,47.425124423582574
ECOM B2B|Thunder|Regular,ECOM B2B,Thunder,Regular,2025-04-21,52.163766609563794
ECOM B2B|2 Jars|Top Account,ECOM B2B,2 Jars,Top Account,2025-04-21,32.149817344664214
ECOM B2B|CKM|Top Account,ECOM B2B,CKM,Top Account,2025-04-21,23.399683975202993
