series_id,Channel,Category,Customer Segment,Week,origin_week,horizon,pred,actual,abs_err,APE
Canteen|CKM|Key Account,Canteen,CKM,Key Account,2024-11-25,2024-11-18,2,29.405252929636845,28.448,0.9572529296368444,0.03364921715540088
Canteen|CKM|Regular,Canteen,CKM,Regular,2024-11-25,2024-11-18,2,339.9331589475863,299.077,40.85615894758632,0.13660749220965276
Canteen|CKM|Top Account,Canteen,CKM,Top Account,2024-11-25,2024-11-18,2,7.810302783968697,7.228,0.5823027839686974,0.0805620896470251
Canteen|NB Smart 2 Jar|Key Account,Canteen,NB Smart 2 Jar,Key Account,2024-11-25,2024-11-18,2,19.51779844015465,22.268,2.750201559845351,0.12350465061277847
Canteen|NB Smart 2 Jar|Regular,Canteen,NB Smart 2 Jar,Regular,2024-11-25,2024-11-18,2,211.2851230326936,249.229,37.94387696730641,0.15224503154651509
Canteen|NB Smart 2 Jar|Top Account,Canteen,NB Smart 2 Jar,Top Account,2024-11-25,2024-11-18,2,5.653350183738969,4.445,1.2083501837389683,0.27184481073992534
DTH|1 Jar|Key Account,DTH,1 Jar,Key Account,2024-11-25,2024-11-18,2,93.90338634259301,91.865,2.0383863425930144,0.022188933136591895
DTH|1 Jar|Regular,DTH,1 Jar,Regular,2024-11-25,2024-11-18,2,518.1691468307242,448.11,70.05914683072422,0.1563436362293281
DTH|1 Jar|Top Account,DTH,1 Jar,Top Account,2024-11-25,2024-11-18,2,37.98379491431548,26.036,11.94779491431548,0.4588951803009479
DTH|2 Jars|Key Account,DTH,2 Jars,Key Account,2024-11-25,2024-11-18,2,52.426156479561605,46.636,5.7901564795616025,0.12415637017672189
DTH|2 Jars|Regular,DTH,2 Jars,Regular,2024-11-25,2024-11-18,2,193.84026485361912,309.912,116.07173514638086,0.3745312706393456
DTH|2 Jars|Top Account,DTH,2 Jars,Top Account,2024-11-25,2024-11-18,2,14.370309813290167,14.181,0.18930981329016738,0.01334953905155965
DTH|CKM|Key Account,DTH,CKM,Key Account,2024-11-25,2024-11-18,2,27.64258608788281,26.178,1.4645860878828074,0.055947210936007616
DTH|CKM|Regular,DTH,CKM,Regular,2024-11-25,2024-11-18,2,170.19177318160746,151.434,18.75777318160746,0.12386764651008005
DTH|CKM|Top Account,DTH,CKM,Top Account,2024-11-25,2024-11-18,2,0.20795451349630226,7.833,7.625045486503698,0.9734514855743263
EBO|1 Jar|Key Account,EBO,1 Jar,Key Account,2024-11-25,2024-11-18,2,146.16646345490926,166.124,19.957536545090733,0.12013638333468213
EBO|1 Jar|Regular,EBO,1 Jar,Regular,2024-11-25,2024-11-18,2,388.68036533381934,408.448,19.76763466618064,0.04839694322454913
EBO|1 Jar|Top Account,EBO,1 Jar,Top Account,2024-11-25,2024-11-18,2,29.523568992343723,29.579,0.05543100765627784,0.0018739987036842977
EBO|2 Jars|Key Account,EBO,2 Jars,Key Account,2024-11-25,2024-11-18,2,109.77863889893719,104.62,5.158638898937184,0.04930834351880314
EBO|2 Jars|Regular,EBO,2 Jars,Regular,2024-11-25,2024-11-18,2,320.22050972124515,0.0,320.22050972124515,320220509.72124517
EBO|2 Jars|Top Account,EBO,2 Jars,Top Account,2024-11-25,2024-11-18,2,25.190285997195886,22.507,2.6832859971958847,0.11922006474411892
EBO|Blender|Key Account,EBO,Blender,Key Account,2024-11-25,2024-11-18,2,94.98124777505198,92.006,2.975247775051983,0.032337540758776415
EBO|Blender|Regular,EBO,Blender,Regular,2024-11-25,2024-11-18,2,275.965377363235,265.347,10.618377363235027,0.040016948988437884
EBO|Blender|Top Account,EBO,Blender,Top Account,2024-11-25,2024-11-18,2,18.168857503023023,18.894,0.7251424969769751,0.038379511854396905
EBO|CKM|Key Account,EBO,CKM,Key Account,2024-11-25,2024-11-18,2,62.553542603326875,50.614,11.939542603326878,0.23589407285191605
EBO|CKM|Regular,EBO,CKM,Regular,2024-11-25,2024-11-18,2,208.94932782444297,207.868,1.0813278244429796,0.005201992728284198
EBO|CKM|Top Account,EBO,CKM,Top Account,2024-11-25,2024-11-18,2,0.2049055191187166,12.114,11.909094480881285,0.9830852303847849
ECOM B2B|2 Jars|Key Account,ECOM B2B,2 Jars,Key Account,2024-11-25,2024-11-18,2,181.85718967986904,187.74,5.882810320130972,0.03133487972798003
ECOM B2B|2 Jars|Regular,ECOM B2B,2 Jars,Regular,2024-11-25,2024-11-18,2,163.03881421225904,152.483,10.555814212259037,0.06922617086664767
ECOM B2B|2 Jars|Top Account,ECOM B2B,2 Jars,Top Account,2024-11-25,2024-11-18,2,34.93450414394351,29.058,5.876504143943507,0.20223360671565513
ECOM B2B|CKM|Key Account,ECOM B2B,CKM,Key Account,2024-11-25,2024-11-18,2,142.78603423562208,135.419,7.3670342356220715,0.05440177697089826
